/oscar/home/rye13/automixer/data/wav_dir
000002.wav	479625
000010.wav	479625
000140.wav	479625
000141.wav	479625
000148.wav	479625
000182.wav	480043
000193.wav	479625
000197.wav	479625
000200.wav	479625
000204.wav	479625
000207.wav	479625
000210.wav	480043
000211.wav	479625
000212.wav	479625
000213.wav	479625
000256.wav	479625
000368.wav	479625
000424.wav	479625
000459.wav	480043
000534.wav	479625
000540.wav	479625
000602.wav	479625
000615.wav	480043
000620.wav	479625
000621.wav	479625
000625.wav	480043
000666.wav	480043
000667.wav	479625
000676.wav	479625
000690.wav	479625
000694.wav	479625
000695.wav	479625
000704.wav	479625
000705.wav	479625
000707.wav	479625
000708.wav	479625
000714.wav	479625
000715.wav	479625
000716.wav	479625
000718.wav	480043
000777.wav	479625
000814.wav	479625
000821.wav	480043
000822.wav	479625
000825.wav	479625
000853.wav	480043
000890.wav	479625
000892.wav	479625
000897.wav	479625
000993.wav	480043
000995.wav	480043
000997.wav	480043
000998.wav	479625
